id,image_url,type
0,https://inaturalist-open-data.s3.amazonaws.com/photos/560167/medium.JPG,желтоносая
1,https://inaturalist-open-data.s3.amazonaws.com/photos/1858853/medium.JPG,желтоносая
2,https://static.inaturalist.org/photos/2019130/medium.jpg,желтоносая
3,https://inaturalist-open-data.s3.amazonaws.com/photos/2449029/medium.JPG,желтоносая
4,https://inaturalist-open-data.s3.amazonaws.com/photos/4709637/medium.jpg,желтоносая
5,https://inaturalist-open-data.s3.amazonaws.com/photos/5608027/medium.jpg,желтоносая
6,https://inaturalist-open-data.s3.amazonaws.com/photos/5679245/medium.jpeg,желтоносая
7,https://inaturalist-open-data.s3.amazonaws.com/photos/6536024/medium.jpeg,желтоносая
8,https://inaturalist-open-data.s3.amazonaws.com/photos/73901043/medium.jpeg,желтоносая
9,https://inaturalist-open-data.s3.amazonaws.com/photos/8662446/medium.jpeg,желтоносая
10,https://inaturalist-open-data.s3.amazonaws.com/photos/9454723/medium.jpg,желтоносая
11,https://inaturalist-open-data.s3.amazonaws.com/photos/9980291/medium.jpeg,желтоносая
12,https://inaturalist-open-data.s3.amazonaws.com/photos/10132195/medium.jpg,желтоносая
13,https://static.inaturalist.org/photos/10494608/medium.jpg,желтоносая
14,https://static.inaturalist.org/photos/11250375/medium.jpeg,желтоносая
15,https://inaturalist-open-data.s3.amazonaws.com/photos/11675157/medium.jpeg,желтоносая
16,https://inaturalist-open-data.s3.amazonaws.com/photos/11833480/medium.jpg,желтоносая
17,https://inaturalist-open-data.s3.amazonaws.com/photos/11876845/medium.jpg,желтоносая
18,https://inaturalist-open-data.s3.amazonaws.com/photos/12333411/medium.jpg,желтоносая
19,https://inaturalist-open-data.s3.amazonaws.com/photos/13410672/medium.jpg,желтоносая
20,https://inaturalist-open-data.s3.amazonaws.com/photos/14626992/medium.jpg,желтоносая
21,https://inaturalist-open-data.s3.amazonaws.com/photos/14919061/medium.jpeg,желтоносая
22,https://inaturalist-open-data.s3.amazonaws.com/photos/16773519/medium.jpg,желтоносая
23,https://inaturalist-open-data.s3.amazonaws.com/photos/18064209/medium.jpeg,желтоносая
24,https://static.inaturalist.org/photos/21970703/medium.jpg,желтоносая
25,https://inaturalist-open-data.s3.amazonaws.com/photos/23659352/medium.jpeg,желтоносая
26,https://inaturalist-open-data.s3.amazonaws.com/photos/23730149/medium.jpg,желтоносая
27,https://inaturalist-open-data.s3.amazonaws.com/photos/25108130/medium.jpeg,желтоносая
28,https://inaturalist-open-data.s3.amazonaws.com/photos/25810736/medium.jpg,желтоносая
29,https://inaturalist-open-data.s3.amazonaws.com/photos/27209741/medium.jpeg,желтоносая
30,https://static.inaturalist.org/photos/27264879/medium.jpg,желтоносая
31,https://inaturalist-open-data.s3.amazonaws.com/photos/27533331/medium.jpg,желтоносая
32,https://inaturalist-open-data.s3.amazonaws.com/photos/27569384/medium.jpg,желтоносая
33,https://inaturalist-open-data.s3.amazonaws.com/photos/27998447/medium.jpg,желтоносая
34,https://inaturalist-open-data.s3.amazonaws.com/photos/27998896/medium.jpg,желтоносая
35,https://inaturalist-open-data.s3.amazonaws.com/photos/28625755/medium.jpg,желтоносая
36,https://static.inaturalist.org/photos/28987356/medium.jpg,желтоносая
37,https://inaturalist-open-data.s3.amazonaws.com/photos/29632773/medium.jpg,желтоносая
38,https://inaturalist-open-data.s3.amazonaws.com/photos/29688196/medium.jpeg,желтоносая
39,https://inaturalist-open-data.s3.amazonaws.com/photos/30051478/medium.jpeg,желтоносая
40,https://static.inaturalist.org/photos/30373860/medium.jpg,желтоносая
41,https://inaturalist-open-data.s3.amazonaws.com/photos/31331895/medium.jpeg,желтоносая
42,https://inaturalist-open-data.s3.amazonaws.com/photos/31474005/medium.jpeg,желтоносая
43,https://inaturalist-open-data.s3.amazonaws.com/photos/31527420/medium.jpeg,желтоносая
44,https://inaturalist-open-data.s3.amazonaws.com/photos/35216910/medium.jpeg,желтоносая
45,https://inaturalist-open-data.s3.amazonaws.com/photos/36947231/medium.jpeg,желтоносая
46,https://inaturalist-open-data.s3.amazonaws.com/photos/36962766/medium.jpeg,желтоносая
47,https://inaturalist-open-data.s3.amazonaws.com/photos/38969041/medium.jpg,желтоносая
48,https://inaturalist-open-data.s3.amazonaws.com/photos/41867038/medium.jpeg,желтоносая
49,https://inaturalist-open-data.s3.amazonaws.com/photos/42623930/medium.jpeg,желтоносая
50,https://inaturalist-open-data.s3.amazonaws.com/photos/43985197/medium.jpg,желтоносая
51,https://inaturalist-open-data.s3.amazonaws.com/photos/44174563/medium.jpg,желтоносая
52,https://static.inaturalist.org/photos/44703615/medium.jpeg,желтоносая
53,https://inaturalist-open-data.s3.amazonaws.com/photos/48558435/medium.jpeg,желтоносая
54,https://inaturalist-open-data.s3.amazonaws.com/photos/50296202/medium.jpeg,желтоносая
55,https://inaturalist-open-data.s3.amazonaws.com/photos/50867303/medium.jpg,желтоносая
56,https://inaturalist-open-data.s3.amazonaws.com/photos/50877216/medium.jpg,желтоносая
57,https://inaturalist-open-data.s3.amazonaws.com/photos/52573270/medium.jpeg,желтоносая
58,https://inaturalist-open-data.s3.amazonaws.com/photos/53580098/medium.jpg,желтоносая
59,https://inaturalist-open-data.s3.amazonaws.com/photos/54515877/medium.jpeg,желтоносая
60,https://inaturalist-open-data.s3.amazonaws.com/photos/54572442/medium.jpg,желтоносая
61,https://inaturalist-open-data.s3.amazonaws.com/photos/54806281/medium.jpg,желтоносая
62,https://inaturalist-open-data.s3.amazonaws.com/photos/55859059/medium.jpg,желтоносая
63,https://inaturalist-open-data.s3.amazonaws.com/photos/55962648/medium.jpeg,желтоносая
64,https://inaturalist-open-data.s3.amazonaws.com/photos/56194352/medium.jpg,желтоносая
65,https://inaturalist-open-data.s3.amazonaws.com/photos/57554629/medium.jpeg,желтоносая
66,https://inaturalist-open-data.s3.amazonaws.com/photos/57895914/medium.jpg,желтоносая
67,https://inaturalist-open-data.s3.amazonaws.com/photos/57895917/medium.jpg,желтоносая
68,https://inaturalist-open-data.s3.amazonaws.com/photos/58070122/medium.jpeg,желтоносая
